Дата,Ваксина,Пол,Възрастова група,Брой заразени
2021/07/01,AZ,Мъж,60 - 69,1
2021/07/01,COM,Жена,50 - 59,1
2021/07/01,COM,Жена,40 - 49,1
2021/07/02,COM,Мъж,40 - 49,1
2021/07/02,AZ,Жена,70 - 79,1
2021/07/02,COM,Жена,70 - 79,1
2021/07/02,AZ,Мъж,70 - 79,1
2021/07/02,JANSS,Мъж,80 - 89,1
2021/07/02,COM,Жена,40 - 49,1
2021/07/03,MOD,Мъж,40 - 49,1
2021/07/04,COM,Мъж,60 - 69,1
2021/07/04,COM,Жена,80 - 89,1
2021/07/04,AZ,Жена,70 - 79,1
2021/07/05,COM,Жена,60 - 69,1
2021/07/05,COM,Жена,50 - 59,1
2021/07/05,COM,Жена,40 - 49,1
2021/07/06,AZ - COM,Жена,40 - 49,1
2021/07/06,COM,Мъж,30 - 39,1
2021/07/06,COM,Мъж,40 - 49,1
2021/07/07,COM,Жена,60 - 69,1
2021/07/07,AZ,Мъж,60 - 69,1
2021/07/07,MOD,Жена,50 - 59,1
2021/07/07,AZ,Жена,30 - 39,1
2021/07/07,COM,Жена,40 - 49,1
2021/07/07,COM,Жена,70 - 79,1
2021/07/07,MOD,Жена,60 - 69,1
2021/07/07,AZ,Мъж,70 - 79,1
2021/07/08,MOD,Мъж,50 - 59,1
2021/07/08,AZ,Мъж,60 - 69,1
2021/07/08,COM,Мъж,30 - 39,1
2021/07/09,AZ,Мъж,70 - 79,1
2021/07/10,AZ,Жена,60 - 69,1
2021/07/11,AZ,Жена,70 - 79,1
2021/07/12,COM,Жена,50 - 59,1
2021/07/12,COM,Мъж,30 - 39,1
2021/07/12,COM,Мъж,80 - 89,2
2021/07/13,AZ,Жена,60 - 69,1
2021/07/13,AZ,Жена,80 - 89,1
2021/07/13,COM,Жена,50 - 59,1
2021/07/13,AZ,Мъж,40 - 49,1
2021/07/13,COM,Жена,80 - 89,1
2021/07/14,COM,Мъж,70 - 79,1
2021/07/14,MOD,Мъж,30 - 39,1
2021/07/14,MOD,Мъж,50 - 59,1
2021/07/15,COM,Мъж,50 - 59,1
2021/07/16,COM,Мъж,60 - 69,1
2021/07/16,COM,Жена,70 - 79,1
2021/07/16,COM,Мъж,40 - 49,1
2021/07/16,COM,Жена,30 - 39,1
2021/07/16,AZ,Мъж,80 - 89,2
2021/07/18,-,-,-,0
2021/07/19,-,-,-,0
2021/07/19,COM,Жена,40 - 49,1
2021/07/19,MOD,Мъж,50 - 59,1
2021/07/19,AZ,Мъж,60 - 69,1
2021/07/19,COM,Жена,20 - 29,1
2021/07/20,AZ,Жена,70 - 79,2
2021/07/20,AZ,Мъж,50 - 59,1
2021/07/20,JANSS,Мъж,50 - 59,2
2021/07/20,COM,Жена,70 - 79,1
2021/07/20,AZ,Жена,80 - 89,1
2021/07/20,COM,Мъж,70 - 79,1
2021/07/20,COM,Жена,60 - 69,1
2021/07/20,COM,Жена,40 - 49,1
2021/07/21,JANSS,Жена,30 - 39,1
2021/07/21,MOD,Жена,70 - 79,1
2021/07/21,JANSS,Мъж,50 - 59,1
2021/07/21,MOD,Мъж,70 - 79,1
2021/07/22,COM,Жена,80 - 89,1
2021/07/22,MOD,Мъж,80 - 89,1
2021/07/22,COM,Мъж,30 - 39,1
2021/07/22,COM,Жена,50 - 59,1
2021/07/23,AZ,Жена,50 - 59,1
2021/07/23,COM,Мъж,60 - 69,3
2021/07/23,COM,Жена,20 - 29,1
2021/07/23,AZ,Мъж,20 - 29,1
2021/07/23,AZ,Мъж,40 - 49,1
2021/07/23,COM,Жена,70 - 79,2
2021/07/23,JANSS,Мъж,17 - 19,1
2021/07/24,JANSS,Жена,50 - 59,1
2021/07/24,MOD,Мъж,70 - 79,1
2021/07/25,COM,Жена,50 - 59,1
2021/07/25,MOD,Жена,60 - 69,1
2021/07/26,COM,Жена,40 - 49,1
2021/07/26,COM,Мъж,40 - 49,1
2021/07/26,COM,Жена,50 - 59,2
2021/07/26,AZ,Мъж,70 - 79,1
2021/07/26,AZ,Мъж,40 - 49,1
2021/07/26,AZ,Мъж,60 - 69,2
2021/07/26,AZ,Жена,20 - 29,1
2021/07/26,COM,Мъж,30 - 39,1
2021/07/26,AZ,Жена,40 - 49,1
2021/07/27,MOD,Мъж,50 - 59,1
2021/07/27,COM,Мъж,17 - 19,1
2021/07/27,COM,Мъж,70 - 79,1
2021/07/27,JANSS,Жена,20 - 29,1
2021/07/27,COM,Жена,60 - 69,1
2021/07/27,AZ,Мъж,40 - 49,2
2021/07/27,MOD,Мъж,20 - 29,1
2021/07/27,JANSS,Мъж,50 - 59,1
2021/07/27,COM,Жена,20 - 29,1
2021/07/27,JANSS,Жена,40 - 49,1
2021/07/27,JANSS,Жена,50 - 59,1
2021/07/27,AZ,Жена,70 - 79,1
