0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90+
6272,15129,26725,31563,31672,25246,13638,4519,429
6350,15349,27235,32243,32469,25967,14063,4685,446
6400,15491,27535,32649,32879,26365,14304,4771,450
6421,15546,27628,32748,32971,26474,14384,4796,453
6457,15696,27984,33274,33570,27068,14742,4930,464
6506,15950,28569,34029,34478,27875,15215,5070,473
6564,16176,28984,34615,35174,28566,15696,5233,485
6630,16377,29379,35145,35821,29221,16116,5381,498
6676,16563,29755,35666,36512,29872,16575,5531,515
6693,16636,29925,35880,36784,30155,16770,5589,520
6710,16657,29986,35957,36885,30256,16859,5617,522
6739,16764,30246,36307,37390,30691,17160,5715,532
6771,16911,30599,36768,37988,31291,17602,5817,540
6797,17027,30805,37096,38404,31751,17892,5926,548
6816,17164,31065,37409,38791,32184,18264,6040,555
6843,17256,31266,37680,39137,32567,18549,6161,568
6863,17315,31368,37831,39331,32789,18720,6238,574
6865,17327,31385,37857,39366,32834,18736,6251,574
6886,17406,31527,38049,39628,33096,18960,6337,583
6925,17509,31717,38313,39983,33502,19258,6467,597
6945,17594,31918,38560,40308,33837,19546,6573,605
6970,17634,31990,38684,40450,34013,19684,6620,613
6972,17653,32030,38717,40504,34058,19724,6643,614
6981,17677,32087,38776,40595,34154,19808,6687,619
6986,17698,32119,38837,40655,34228,19868,6704,621
6991,17721,32150,38894,40714,34292,19932,6733,626
7021,17797,32328,39129,41003,34590,20154,6842,627
7055,17913,32536,39402,41357,34946,20438,6940,633
7079,17977,32653,39562,41575,35163,20615,7000,642
7084,17992,32703,39614,41621,35211,20662,7011,642
7091,18013,32744,39667,41676,35269,20743,7031,646
7103,18025,32770,39690,41716,35295,20762,7042,648
7126,18106,32904,39854,41918,35488,20912,7120,652
7162,18206,33090,40056,42161,35742,21125,7185,663
7188,18289,33218,40229,42333,35925,21290,7253,667
7214,18366,33334,40368,42494,36093,21416,7304,670
7242,18428,33423,40492,42618,36219,21546,7365,679
7253,18466,33487,40554,42682,36299,21596,7387,682
7256,18475,33498,40568,42707,36315,21615,7393,684
