province,date,new_cases
Blagoevgrad,2021-02-23,97.0
Blagoevgrad,2021-02-24,72.0
Blagoevgrad,2021-02-25,79.0
Blagoevgrad,2021-02-26,78.0
Blagoevgrad,2021-02-27,85.0
Blagoevgrad,2021-02-28,29.0
Blagoevgrad,2021-03-01,5.0
Blagoevgrad,2021-03-02,123.0
Blagoevgrad,2021-03-03,104.0
Blagoevgrad,2021-03-04,14.0
Blagoevgrad,2021-03-05,112.0
Blagoevgrad,2021-03-06,106.0
Blagoevgrad,2021-03-07,45.0
Blagoevgrad,2021-03-08,12.0
Blagoevgrad,2021-03-09,103.0
Blagoevgrad,2021-03-10,126.0
Blagoevgrad,2021-03-11,112.0
Blagoevgrad,2021-03-12,105.0
Blagoevgrad,2021-03-13,109.0
Blagoevgrad,2021-03-14,44.0
Blagoevgrad,2021-03-15,4.0
Blagoevgrad,2021-03-16,220.0
Blagoevgrad,2021-03-17,188.0
Blagoevgrad,2021-03-18,134.0
Blagoevgrad,2021-03-19,158.0
Blagoevgrad,2021-03-20,172.0
Blagoevgrad,2021-03-21,101.0
Blagoevgrad,2021-03-22,12.0
Blagoevgrad,2021-03-23,190.0
Blagoevgrad,2021-03-24,171.0
Blagoevgrad,2021-03-25,136.0
Blagoevgrad,2021-03-26,149.0
Blagoevgrad,2021-03-27,135.0
Blagoevgrad,2021-03-28,76.0
Blagoevgrad,2021-03-29,0.0
Blagoevgrad,2021-03-30,228.0
Blagoevgrad,2021-03-31,160.0
Blagoevgrad,2021-04-01,154.0
Blagoevgrad,2021-04-02,152.0
Blagoevgrad,2021-04-03,175.0
Blagoevgrad,2021-04-04,54.0
Blagoevgrad,2021-04-05,24.0
Blagoevgrad,2021-04-06,162.0
Blagoevgrad,2021-04-07,125.0
Blagoevgrad,2021-04-08,125.0
Blagoevgrad,2021-04-09,94.0
Blagoevgrad,2021-04-10,97.0
Blagoevgrad,2021-04-11,45.0
Blagoevgrad,2021-04-12,2.0
Blagoevgrad,2021-04-13,127.0
Blagoevgrad,2021-04-14,91.0
Blagoevgrad,2021-04-15,96.0
Blagoevgrad,2021-04-16,70.0
Blagoevgrad,2021-04-17,72.0
Blagoevgrad,2021-04-18,42.0
Blagoevgrad,2021-04-19,0.0
Blagoevgrad,2021-04-20,102.0
Blagoevgrad,2021-04-21,60.0
Blagoevgrad,2021-04-22,80.0
Blagoevgrad,2021-04-23,63.0
